Product_Name,Material,Category,Region,Size(cm),Weight(g),Description_Keywords,Price(INR),Image_URL
Banarasi Silk Saree,Brass,Spiritual Item,Kashmir,46x49x52,2406,"boho style, embroidery, traditional",8401,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Banarasi+Silk+Saree
Bandhani Dupatta,Jute,Festive Item,Maharashtra,63x81x44,4161,"vibrant, traditional, lacquered",6827,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Bandhani+Dupatta
Banarasi Silk Saree,Quartz,Spiritual Item,Karnataka,36x25x24,2628,"traditional, artisan made, boho style",10010,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Banarasi+Silk+Saree
Blue Pottery Plate,Copper,Home Decor,Delhi,68x18x26,3821,"eco-friendly, traditional, vibrant",1277,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Blue+Pottery+Plate
Wooden Keychain,Leather,Kids Toy,Punjab,12x48x34,4202,"embroidery, eco-friendly, traditional",3770,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Wooden+Keychain
Warli Art Canvas,Palm Leaf,Festive Item,Madhya Pradesh,47x91x24,4978,"classic finish, handcrafted, lacquered",12824,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Warli+Art+Canvas
Brass Puja Thali,Paper Mache,Kids Toy,Karnataka,42x89x43,3536,"natural dyes, tribal, woven",12666,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Brass+Puja+Thali
Terracotta Planter,Cotton Rope,Stationery,Madhya Pradesh,33x87x36,1616,"eco-friendly, boho style, sustainable",2051,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Terracotta+Planter
Cane Chair Miniature,Cotton,Jewellery,Bihar,46x83x16,3507,"artisan made, boho style, hand-painted",10161,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Cane+Chair+Miniature
Terracotta Planter,Organic Cotton,Wall Art,Tamil Nadu,79x10x23,2856,"eco-friendly, vibrant, cultural",4046,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Terracotta+Planter
Handcrafted Wind Chime,Bamboo,Jewellery,Haryana,79x96x49,3928,"natural dyes, vibrant, boho style",14400,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Handcrafted+Wind+Chime
Handmade Diary,Jute,Festive Item,Bihar,69x92x31,3570,"vibrant, natural dyes, tribal",5121,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Handmade+Diary
Kalamkari Saree,Copper,Jewellery,Uttar Pradesh,17x33x29,2667,"tribal, heritage craft, handcrafted",2065,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Kalamkari+Saree
Handwoven Basket,Palm Leaf,Stationery,Maharashtra,69x69x36,976,"durable, boho style, hand-painted",13050,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Handwoven+Basket
Terracotta Jewellery,Jute,Furniture Miniature,Kerala,63x57x44,2352,"artisan made, traditional, cultural",12924,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Terracotta+Jewellery
Madhubani Painting,Paper Mache,Kids Toy,Bihar,17x22x59,2553,"cultural, natural dyes, tribal",375,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Madhubani+Painting
Pashmina Shawl,Leather,Home Decor,Maharashtra,99x55x35,4562,"heritage craft, premium, handcrafted",14658,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Pashmina+Shawl
Macrame Wall Hanging,Cane,Decor,Goa,76x13x50,938,"cultural, eco-friendly, handcrafted",12635,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Macrame+Wall+Hanging
Jute Table Mat,Handmade Paper,Jewellery,Madhya Pradesh,98x37x36,1846,"artisan made, premium, sustainable",2925,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Jute+Table+Mat
Handwoven Carpet,Canvas,Footwear,Kashmir,32x24x41,872,"eco-friendly, lacquered, traditional",7302,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Handwoven+Carpet
Lippan Art Frame,Handmade Paper,Jewellery,Maharashtra,91x54x31,3270,"natural dyes, tribal, artisan made",8533,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Lippan+Art+Frame
Brass Puja Thali,Bamboo,Furniture Miniature,Maharashtra,58x98x33,1179,"tribal, artisan made, vibrant",14092,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Brass+Puja+Thali
Blue Pottery Plate,Palm Leaf,Stationery,Maharashtra,33x14x34,3340,"premium, hand-painted, classic finish",11417,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Blue+Pottery+Plate
Lippan Art Frame,Wool,Clothing,Bihar,45x13x17,4672,"heritage craft, embroidery, hand-painted",547,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Lippan+Art+Frame
Tribal Art Mask,Pashmina Wool,Kids Toy,Kerala,82x92x5,4199,"sustainable, vibrant, natural dyes",10373,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Tribal+Art+Mask
Banarasi Silk Saree,Copper,Furniture Miniature,Goa,44x17x47,758,"durable, handcrafted, artisan made",1349,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Banarasi+Silk+Saree
Madhubani Painting,Cotton Rope,Furniture Miniature,Odisha,97x16x31,3955,"artisan made, woven, sustainable",1688,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Madhubani+Painting
Clay Diya Set,Cotton,Accessories,Bihar,52x67x26,1965,"traditional, handcrafted, natural dyes",13107,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Clay+Diya+Set
Dhokra Figurine,Quartz,Clothing,Odisha,66x60x57,489,"woven, cultural, natural dyes",14353,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Dhokra+Figurine
Handwoven Carpet,Pashmina Wool,Wall Art,Tamil Nadu,92x71x20,700,"durable, traditional, classic finish",13666,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Handwoven+Carpet
Kalamkari Saree,Paper Mache,Decor,Gujarat,59x59x36,4073,"traditional, natural dyes, handcrafted",13932,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Kalamkari+Saree
Macrame Wall Hanging,Quartz,Home Decor,Chhattisgarh,76x22x43,1656,"durable, heritage craft, unique design",12445,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Macrame+Wall+Hanging
Rattan Lamp,Handmade Paper,Kitchenware,Assam,100x32x19,781,"tribal, cultural, lacquered",14528,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Rattan+Lamp
Brass Puja Thali,Jute,Footwear,Bihar,62x22x48,230,"boho style, cultural, artisan made",4741,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Brass+Puja+Thali
Copper Mug,Cotton,Stationery,West Bengal,34x11x17,3068,"natural dyes, minimal design, unique design",10559,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Copper+Mug
Paper Mache Box,Cotton Rope,Footwear,Bihar,95x94x38,3190,"heritage craft, classic finish, natural dyes",5575,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Paper+Mache+Box
Woolen Shawl,Clay,Furniture Miniature,Maharashtra,95x31x5,1583,"woven, lacquered, traditional",10725,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Woolen+Shawl
Bandhani Dupatta,Handmade Paper,Jewellery,Tamil Nadu,24x58x52,1098,"traditional, natural dyes, hand-painted",2904,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Bandhani+Dupatta
Bamboo Basket,Wood,Jewellery,Madhya Pradesh,72x98x5,4271,"cultural, traditional, eco-friendly",1264,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Bamboo+Basket
Cane Chair Miniature,Wood,Festive Item,Maharashtra,84x11x22,2949,"artisan made, durable, minimal design",6205,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Cane+Chair+Miniature
Bamboo Basket,Cane,Kids Toy,West Bengal,76x13x55,3116,"cultural, woven, durable",987,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Bamboo+Basket
Paper Mache Box,Copper,Jewellery,Assam,53x14x25,1571,"classic finish, unique design, minimal design",12305,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Paper+Mache+Box
Handwoven Basket,Clay,Spiritual Item,Chhattisgarh,48x15x44,856,"durable, sustainable, hand-painted",14711,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Handwoven+Basket
Handcrafted Wind Chime,Stone,Jewellery,West Bengal,90x86x10,4821,"hand-painted, eco-friendly, durable",8561,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Handcrafted+Wind+Chime
Handloom Kurta,Quartz,Wall Art,Madhya Pradesh,33x56x6,3946,"durable, boho style, premium",11317,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Handloom+Kurta
Wooden Spice Box,Quartz,Kitchenware,West Bengal,56x15x43,4996,"woven, traditional, handcrafted",13350,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Wooden+Spice+Box
Hand-painted Kettle,Organic Cotton,Kitchenware,Punjab,52x57x52,1266,"traditional, eco-friendly, artisan made",3407,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Hand-painted+Kettle
Block Print Bedsheet,Handmade Paper,Home Decor,Kashmir,14x44x18,2179,"minimal design, tribal, heritage craft",13062,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Block+Print+Bedsheet
Jute Handbag,Stone,Decor,Bihar,38x12x9,2822,"handcrafted, woven, eco-friendly",8832,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Jute+Handbag
Marble Coaster Set,Wood,Accessories,Kerala,10x54x34,1107,"hand-painted, natural dyes, premium",10340,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Marble+Coaster+Set
Banarasi Silk Saree,Jute,Furniture Miniature,Maharashtra,100x17x5,1855,"natural dyes, durable, traditional",6093,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Banarasi+Silk+Saree
Hand-painted Kettle,Paper Mache,Clothing,Bihar,71x67x22,3564,"vibrant, woven, premium",8904,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Hand-painted+Kettle
Hand-painted Kettle,Organic Cotton,Kids Toy,Odisha,82x16x43,4036,"cultural, natural dyes, hand-painted",2600,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Hand-painted+Kettle
Handmade Diary,Wool,Bags,Maharashtra,30x20x19,2385,"artisan made, eco-friendly, handcrafted",2454,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Handmade+Diary
Woolen Muffler,Clay,Spiritual Item,West Bengal,67x72x11,4903,"hand-painted, artisan made, heritage craft",9865,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Woolen+Muffler
Wooden Spice Box,Copper,Footwear,Madhya Pradesh,31x55x51,4988,"durable, eco-friendly, unique design",5345,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Wooden+Spice+Box
Jute Handbag,Handmade Paper,Wall Art,Kerala,43x36x5,3522,"unique design, lacquered, classic finish",10419,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Jute+Handbag
Tribal Art Mask,Cane,Jewellery,Bihar,50x17x8,266,"eco-friendly, minimal design, premium",8061,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Tribal+Art+Mask
Kantha Stitch Saree,Pashmina Wool,Spiritual Item,Delhi,46x96x5,959,"handcrafted, classic finish, lacquered",3127,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Kantha+Stitch+Saree
Dhokra Figurine,Wool,Clothing,Haryana,67x96x16,3686,"heritage craft, cultural, tribal",6856,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Dhokra+Figurine
Sheesham Wood Bowl,Cotton,Clothing,Bihar,95x72x48,3653,"heritage craft, unique design, embroidery",14258,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Sheesham+Wood+Bowl
Terracotta Planter,Paper Mache,Wall Art,Karnataka,25x74x58,3249,"artisan made, unique design, tribal",13356,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Terracotta+Planter
Banarasi Silk Saree,Leather,Jewellery,Kashmir,94x61x51,2962,"vibrant, hand-painted, boho style",14102,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Banarasi+Silk+Saree
Rattan Lamp,Canvas,Decor,Uttar Pradesh,17x56x34,1552,"durable, eco-friendly, embroidery",4719,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Rattan+Lamp
Woolen Muffler,Cane,Bags,West Bengal,95x18x28,3800,"traditional, minimal design, premium",4907,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Woolen+Muffler
Bamboo Basket,Cotton Rope,Festive Item,Odisha,83x16x35,4950,"tribal, premium, natural dyes",4403,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Bamboo+Basket
Bandhani Dupatta,Pashmina Wool,Kids Toy,Odisha,98x15x48,2300,"unique design, woven, heritage craft",5208,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Bandhani+Dupatta
Bamboo Pen Stand,Bamboo,Kitchenware,Assam,14x70x48,432,"classic finish, boho style, woven",12302,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Bamboo+Pen+Stand
Zari Work Blouse,Organic Cotton,Home Decor,Bihar,100x76x51,3878,"artisan made, embroidery, unique design",8452,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Zari+Work+Blouse
Wooden Keychain,Wood,Wall Art,Chhattisgarh,33x22x18,4100,"natural dyes, sustainable, lacquered",4109,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Wooden+Keychain
Handwoven Carpet,Bamboo,Stationery,Punjab,52x95x19,2406,"premium, cultural, boho style",1544,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Handwoven+Carpet
Madhubani Painting,Cane,Bags,Assam,43x35x22,2393,"handcrafted, hand-painted, unique design",336,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Madhubani+Painting
Dhokra Figurine,Palm Leaf,Festive Item,Madhya Pradesh,53x38x45,1861,"traditional, lacquered, classic finish",9676,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Dhokra+Figurine
Phulkari Dupatta,Stone,Clothing,Maharashtra,79x12x54,2141,"minimal design, cultural, natural dyes",12142,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Phulkari+Dupatta
Woolen Shawl,Stone,Decor,Rajasthan,70x86x41,4057,"sustainable, heritage craft, classic finish",1152,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Woolen+Shawl
Brass Puja Thali,Bamboo,Spiritual Item,Maharashtra,90x27x43,1133,"vibrant, eco-friendly, handcrafted",12442,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Brass+Puja+Thali
Marble Coaster Set,Canvas,Decor,Haryana,76x68x50,2696,"tribal, heritage craft, natural dyes",10872,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Marble+Coaster+Set
Wood Carved Elephant,Wood,Accessories,Kerala,83x14x46,1956,"unique design, embroidery, vibrant",4403,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Wood+Carved+Elephant
Copper Mug,Pashmina Wool,Accessories,Kerala,77x38x10,2339,"hand-painted, sustainable, woven",12334,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Copper+Mug
Kalamkari Saree,Canvas,Festive Item,Delhi,37x48x10,400,"woven, cultural, boho style",8918,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Kalamkari+Saree
Woolen Shawl,Wool,Clothing,Chhattisgarh,61x79x46,1998,"cultural, unique design, tribal",6076,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Woolen+Shawl
Handloom Scarf,Wood,Stationery,Punjab,76x61x34,2837,"unique design, eco-friendly, natural dyes",5541,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Handloom+Scarf
Woolen Muffler,Silk,Home Decor,Rajasthan,38x19x56,2313,"hand-painted, vibrant, cultural",11192,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Woolen+Muffler
Woolen Shawl,Cotton,Clothing,West Bengal,60x24x41,1620,"classic finish, handcrafted, premium",13371,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Woolen+Shawl
Handloom Kurta,Leather,Festive Item,Goa,90x62x5,1798,"boho style, heritage craft, classic finish",8825,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Handloom+Kurta
Brass Idol,Clay,Accessories,Gujarat,43x18x17,3329,"woven, sustainable, vibrant",9120,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Brass+Idol
Blue Pottery Plate,Bamboo,Footwear,Maharashtra,76x43x29,3922,"eco-friendly, hand-painted, unique design",10522,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Blue+Pottery+Plate
Cane Chair Miniature,Handmade Paper,Jewellery,Kerala,89x11x9,2865,"unique design, classic finish, minimal design",8369,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Cane+Chair+Miniature
Sheesham Wood Bowl,Wood,Furniture Miniature,West Bengal,74x54x34,1495,"minimal design, classic finish, embroidery",1866,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Sheesham+Wood+Bowl
Brass Idol,Marble,Stationery,West Bengal,17x59x33,4852,"boho style, lacquered, woven",12119,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Brass+Idol
Brass Idol,Marble,Kitchenware,Chhattisgarh,54x32x21,1349,"traditional, durable, natural dyes",6753,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Brass+Idol
Block Print Bedsheet,Clay,Furniture Miniature,Haryana,26x84x39,956,"unique design, minimal design, handcrafted",3699,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Block+Print+Bedsheet
Banarasi Silk Saree,Palm Leaf,Wall Art,Tamil Nadu,32x41x6,2630,"cultural, premium, woven",12095,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Banarasi+Silk+Saree
Handwoven Basket,Jute,Jewellery,Kerala,97x59x6,4234,"traditional, tribal, premium",10778,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Handwoven+Basket
Madhubani Painting,Silk,Kids Toy,Gujarat,96x45x45,178,"eco-friendly, minimal design, embroidery",8350,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Madhubani+Painting
Terracotta Pot,Brass,Kids Toy,Assam,42x50x33,4216,"natural dyes, artisan made, boho style",9140,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Terracotta+Pot
Jute Table Mat,Organic Cotton,Festive Item,Kashmir,79x26x35,3621,"classic finish, durable, unique design",3723,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Jute+Table+Mat
Bamboo Pen Stand,Jute,Wall Art,Assam,100x54x38,1361,"sustainable, durable, embroidery",6219,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Bamboo+Pen+Stand
Tribal Art Mask,Wood,Spiritual Item,Chhattisgarh,74x17x55,2825,"handcrafted, woven, tribal",12362,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Tribal+Art+Mask
Terracotta Pot,Organic Cotton,Spiritual Item,Goa,38x96x17,2591,"traditional, sustainable, tribal",10503,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Terracotta+Pot
Handcrafted Wind Chime,Jute,Spiritual Item,Madhya Pradesh,81x66x24,777,"natural dyes, sustainable, handcrafted",8671,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Handcrafted+Wind+Chime
Wooden Spice Box,Pashmina Wool,Jewellery,Maharashtra,23x58x14,2778,"cultural, tribal, embroidery",837,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Wooden+Spice+Box
Channapatna Toy,Clay,Accessories,Madhya Pradesh,83x95x40,4403,"heritage craft, premium, sustainable",3552,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Channapatna+Toy
Handwoven Carpet,Pashmina Wool,Footwear,Kerala,62x86x36,307,"boho style, unique design, tribal",11470,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Handwoven+Carpet
Handmade Diary,Jute,Kids Toy,Odisha,100x75x12,306,"cultural, classic finish, lacquered",491,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Handmade+Diary
Handcrafted Wind Chime,Stone,Decor,Karnataka,66x20x44,1391,"unique design, lacquered, woven",6151,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Handcrafted+Wind+Chime
Handcrafted Wind Chime,Palm Leaf,Wall Art,Punjab,17x85x43,4565,"heritage craft, boho style, hand-painted",5703,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Handcrafted+Wind+Chime
Zari Work Blouse,Clay,Decor,Gujarat,48x32x20,3471,"embroidery, artisan made, handcrafted",12277,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Zari+Work+Blouse
Kolhapuri Chappal,Wood,Stationery,Madhya Pradesh,89x82x51,1807,"cultural, woven, tribal",3976,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Kolhapuri+Chappal
Block Print Bedsheet,Brass,Decor,Madhya Pradesh,97x12x21,994,"artisan made, tribal, eco-friendly",14882,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Block+Print+Bedsheet
Copper Mug,Organic Cotton,Footwear,Uttar Pradesh,70x47x55,2007,"tribal, artisan made, natural dyes",14514,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Copper+Mug
Hand-painted Kettle,Paper Mache,Decor,Odisha,29x12x53,1165,"woven, durable, traditional",12142,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Hand-painted+Kettle
Pashmina Shawl,Handmade Paper,Footwear,Karnataka,82x79x60,4539,"embroidery, boho style, vibrant",12222,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Pashmina+Shawl
Jute Handbag,Marble,Furniture Miniature,Chhattisgarh,98x10x24,809,"handcrafted, cultural, embroidery",1567,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Jute+Handbag
Zari Work Blouse,Wool,Kids Toy,Madhya Pradesh,14x22x23,4738,"traditional, tribal, minimal design",316,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Zari+Work+Blouse
Handloom Scarf,Leather,Decor,West Bengal,85x59x30,2695,"boho style, eco-friendly, minimal design",11592,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Handloom+Scarf
Kalamkari Saree,Copper,Spiritual Item,Madhya Pradesh,85x46x49,3638,"artisan made, natural dyes, boho style",11035,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Kalamkari+Saree
Phulkari Dupatta,Marble,Spiritual Item,Madhya Pradesh,73x68x40,4879,"lacquered, eco-friendly, cultural",2867,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Phulkari+Dupatta
Terracotta Jewellery,Jute,Jewellery,Goa,20x29x36,2304,"eco-friendly, traditional, tribal",11207,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Terracotta+Jewellery
Cane Chair Miniature,Wood,Spiritual Item,Punjab,83x84x7,109,"hand-painted, unique design, eco-friendly",573,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Cane+Chair+Miniature
Hand-painted Kettle,Stone,Jewellery,Chhattisgarh,47x68x28,4821,"boho style, embroidery, cultural",14340,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Hand-painted+Kettle
Bamboo Basket,Cane,Footwear,Assam,61x13x42,4119,"minimal design, vibrant, classic finish",1782,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Bamboo+Basket
Kalamkari Saree,Wool,Bags,Rajasthan,60x25x46,642,"heritage craft, handcrafted, hand-painted",5041,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Kalamkari+Saree
Jute Table Mat,Leather,Accessories,Karnataka,80x88x21,3261,"natural dyes, hand-painted, handcrafted",3591,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Jute+Table+Mat
Lippan Art Frame,Wood,Kids Toy,Goa,40x42x27,1398,"classic finish, unique design, woven",5385,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Lippan+Art+Frame
Clay Water Bottle,Organic Cotton,Bags,Goa,79x30x50,4097,"natural dyes, tribal, traditional",2983,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Clay+Water+Bottle
Stone Carved Ganesha,Wood,Festive Item,Uttar Pradesh,79x29x42,3440,"lacquered, tribal, unique design",2133,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Stone+Carved+Ganesha
Handwoven Carpet,Clay,Bags,Goa,98x27x58,4775,"durable, minimal design, artisan made",3253,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Handwoven+Carpet
Block Print Bedsheet,Copper,Footwear,Madhya Pradesh,72x23x56,1819,"durable, sustainable, artisan made",2153,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Block+Print+Bedsheet
Copper Mug,Wood,Kids Toy,Rajasthan,75x27x22,2149,"classic finish, eco-friendly, embroidery",6162,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Copper+Mug
Paper Mache Box,Pashmina Wool,Footwear,Delhi,17x90x20,1704,"handcrafted, cultural, tribal",7074,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Paper+Mache+Box
Terracotta Jewellery,Leather,Spiritual Item,Tamil Nadu,29x29x9,392,"heritage craft, minimal design, vibrant",12272,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Terracotta+Jewellery
Wood Carved Elephant,Pashmina Wool,Wall Art,West Bengal,29x88x26,2843,"sustainable, boho style, cultural",14032,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Wood+Carved+Elephant
Kalamkari Saree,Cane,Decor,Tamil Nadu,36x71x49,1371,"eco-friendly, sustainable, durable",2904,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Kalamkari+Saree
Jute Handbag,Wool,Accessories,Delhi,83x35x21,536,"embroidery, natural dyes, unique design",7443,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Jute+Handbag
Banarasi Silk Saree,Cotton Rope,Kitchenware,Rajasthan,42x38x15,581,"sustainable, minimal design, hand-painted",7199,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Banarasi+Silk+Saree
Handwoven Basket,Handmade Paper,Jewellery,Haryana,49x49x25,743,"woven, eco-friendly, hand-painted",9652,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Handwoven+Basket
Wooden Keychain,Wood,Furniture Miniature,Uttar Pradesh,26x83x39,1163,"embroidery, durable, cultural",9348,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Wooden+Keychain
Terracotta Jewellery,Marble,Spiritual Item,Tamil Nadu,14x69x7,2630,"cultural, hand-painted, vibrant",4665,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Terracotta+Jewellery
Terracotta Planter,Cotton,Decor,Delhi,11x14x50,2275,"natural dyes, embroidery, boho style",6878,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Terracotta+Planter
Clay Water Bottle,Stone,Kids Toy,Odisha,32x81x17,2212,"boho style, unique design, premium",2536,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Clay+Water+Bottle
Terracotta Planter,Copper,Festive Item,Maharashtra,99x57x41,549,"durable, heritage craft, premium",6152,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Terracotta+Planter
Jute Table Mat,Canvas,Stationery,Madhya Pradesh,36x27x15,2407,"boho style, classic finish, durable",9826,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Jute+Table+Mat
Pashmina Shawl,Cotton,Furniture Miniature,Maharashtra,64x29x44,2172,"lacquered, embroidery, vibrant",11675,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Pashmina+Shawl
Clay Diya Set,Brass,Wall Art,Assam,41x58x10,4260,"tribal, minimal design, traditional",6167,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Clay+Diya+Set
Handcrafted Wind Chime,Pashmina Wool,Footwear,West Bengal,100x59x11,3050,"boho style, tribal, woven",3507,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Handcrafted+Wind+Chime
Handwoven Basket,Canvas,Decor,Uttar Pradesh,79x48x13,718,"tribal, handcrafted, traditional",12458,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Handwoven+Basket
